              x              v           E(1)           V(1)           E(2)           V(2)           E(3)           V(3)           E(4)           V(4)           E(5)           V(5)           E(6)           V(6)           E(7)           V(7)           E(8)           V(8)           E(9)           V(9)          E(10)          V(10)
      1.2250000      0.0000000      0.3286450      0.3317535      1.3101616      1.3261485      2.0488309      2.2836292      2.9549028      2.9779445      5.2141415      5.2042239      7.8124505      7.8364555      8.4172404      8.4610292     11.6303715     11.6009588     15.4698859     15.4000204     17.8304225     17.6364355
      1.2500000      0.0000000      0.3286450      0.3318091      1.3101616      1.3262482      2.0488309      2.2825631      2.9549028      2.9774490      5.2141415      5.2053846      7.8124505      7.8478651      8.4172404      8.4723464     11.6303715     11.5989721     15.4698859     15.3998548     17.8304225     17.6432401
      1.2750000      0.0000000      0.3286450      0.3318641      1.3101616      1.3263347      2.0488309      2.2811977      2.9549028      2.9769119      5.2141415      5.2065738      7.8124505      7.8591018      8.4172404      8.4833737     11.6303715     11.5972137     15.4698859     15.4003664     17.8304225     17.6521307
      1.3000000      0.0000000      0.3286450      0.3319185      1.3101616      1.3264080      2.0488309      2.2795348      2.9549028      2.9763341      5.2141415      5.2077877      7.8124505      7.8701107      8.4172404      8.4940531     11.6303715     11.5956962     15.4698859     15.4015501     17.8304225     17.6630081
      1.3250000      0.0000000      0.3286450      0.3319722      1.3101616      1.3264680      2.0488309      2.2775764      2.9549028      2.9757167      5.2141415      5.2090223      7.8124505      7.8808381      8.4172404      8.5043284     11.6303715     11.5944308     15.4698859     15.4033945     17.8304225     17.6757512
      1.3500000      0.0000000      0.3286450      0.3320252      1.3101616      1.3265146      2.0488309      2.2753251      2.9549028      2.9750609      5.2141415      5.2102735      7.8124505      7.8912316      8.4172404      8.5141456     11.6303715     11.5934267     15.4698859     15.4058818     17.8304225     17.6902180
      1.3750000      0.0000000      0.3286450      0.3320775      1.3101616      1.3265479      2.0488309      2.2727838      2.9549028      2.9743679      5.2141415      5.2115374      7.8124505      7.9012404      8.4172404      8.5234530     11.6303715     11.5926911     15.4698859     15.4089879     17.8304225     17.7062472
      1.4000000      0.0000000      0.3286450      0.3321291      1.3101616      1.3265677      2.0488309      2.2699557      2.9549028      2.9736389      5.2141415      5.2128098      7.8124505      7.9108156      8.4172404      8.5322016     11.6303715     11.5922294     15.4698859     15.4126828     17.8304225     17.7236602
      1.4250000      0.0000000      0.3286450      0.3321800      1.3101616      1.3265741      2.0488309      2.2668445      2.9549028      2.9728753      5.2141415      5.2140864      7.8124505      7.9199105      8.4172404      8.5403454     11.6303715     11.5920450     15.4698859     15.4169308     17.8304225     17.7422630
      1.4500000      0.0000000      0.3286450      0.3322301      1.3101616      1.3265670      2.0488309      2.2634540      2.9549028      2.9720785      5.2141415      5.2153633      7.8124505      7.9284808      8.4172404      8.5478416     11.6303715     11.5921391     15.4698859     15.4216909     17.8304225     17.7618483
      1.4750000      0.0000000      0.3286450      0.3322795      1.3101616      1.3265465      2.0488309      2.2597888      2.9549028      2.9712500      5.2141415      5.2166362      7.8124505      7.9364845      8.4172404      8.5546507     11.6303715     11.5925112     15.4698859     15.4269169     17.8304225     17.7821977
      1.5000000      0.0000000      0.3286450      0.3323282      1.3101616      1.3265126      2.0488309      2.2558534      2.9549028      2.9703913      5.2141415      5.2179010      7.8124505      7.9438825      8.4172404      8.5607370     11.6303715     11.5931585     15.4698859     15.4325583     17.8304225     17.8030845
      1.5250000      0.0000000      0.3286450      0.3323761      1.3101616      1.3264654      2.0488309      2.2516529      2.9549028      2.9695040      5.2141415      5.2191535      7.8124505      7.9506389      8.4172404      8.5660683     11.6303715     11.5940763     15.4698859     15.4385607     17.8304225     17.8242760
      1.5500000      0.0000000      0.3286450      0.3324233      1.3101616      1.3264047      2.0488309      2.2471927      2.9549028      2.9685898      5.2141415      5.2203897      7.8124505      7.9567204      8.4172404      8.5706167     11.6303715     11.5952579     15.4698859     15.4448659     17.8304225     17.8455360
      1.5750000      0.0000000      0.3286450      0.3324696      1.3101616      1.3263308      2.0488309      2.2424785      2.9549028      2.9676502      5.2141415      5.2216055      7.8124505      7.9620975      8.4172404      8.5743582     11.6303715     11.5966947     15.4698859     15.4514131     17.8304225     17.8666276
      1.6000000      0.0000000      0.3286450      0.3325152      1.3101616      1.3262436      2.0488309      2.2375163      2.9549028      2.9666872      5.2141415      5.2227970      7.8124505      7.9667440      8.4172404      8.5772732     11.6303715     11.5983764     15.4698859     15.4581388     17.8304225     17.8873157
      1.6250000      0.0000000      0.3286450      0.3325600      1.3101616      1.3261433      2.0488309      2.2323126      2.9549028      2.9657023      5.2141415      5.2239602      7.8124505      7.9706370      8.4172404      8.5793462     11.6303715     11.6002906     15.4698859     15.4649781     17.8304225     17.9073698
      1.6500000      0.0000000      0.3286450      0.3326040      1.3101616      1.3260298      2.0488309      2.2268738      2.9549028      2.9646975      5.2141415      5.2250915      7.8124505      7.9737577      8.4172404      8.5805665     11.6303715     11.6024235     15.4698859     15.4718649     17.8304225     17.9265664
